<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.09	09:00:00	1.06819	1.06949	1.06683	1.06733	7146	0	0
2023.01.09	10:00:00	1.06733	1.06997	1.06725	1.06904	7753	0	0
2023.01.09	11:00:00	1.06904	1.06936	1.06599	1.06724	6501	0	0
2023.01.09	12:00:00	1.06727	1.06766	1.06614	1.06690	5607	0	0
2023.01.09	13:00:00	1.06693	1.06857	1.06675	1.06843	4980	0	0
2023.01.09	14:00:00	1.06839	1.06937	1.06809	1.06889	4428	0	0
2023.01.09	15:00:00	1.06889	1.07319	1.06853	1.07252	8109	0	0
2023.01.09	16:00:00	1.07253	1.07383	1.07115	1.07282	8963	0	0
2023.01.09	17:00:00	1.07282	1.07493	1.07278	1.07403	8779	0	0
2023.01.09	18:00:00	1.07403	1.07607	1.07402	1.07582	7489	0	0
2023.01.09	19:00:00	1.07582	1.07601	1.07399	1.07503	5864	0	0
2023.01.09	20:00:00	1.07503	1.07542	1.07377	1.07433	4485	0	0
2023.01.09	21:00:00	1.07431	1.07529	1.07415	1.07518	4913	0	0
2023.01.09	22:00:00	1.07518	1.07539	1.07305	1.07311	6408	0	0
2023.01.09	23:00:00	1.07311	1.07353	1.07301	1.07318	1666	0	0
2023.01.10	00:00:00	1.07293	1.07320	1.07243	1.07315	1795	0	15
2023.01.10	01:00:00	1.07315	1.07380	1.07272	1.07325	1833	0	2
2023.01.10	02:00:00	1.07324	1.07382	1.07204	1.07275	3567	0	1
2023.01.10	03:00:00	1.07274	1.07397	1.07259	1.07362	2950	0	1
2023.01.10	04:00:00	1.07362	1.07425	1.07212	1.07308	3550	0	0
2023.01.10	05:00:00	1.07311	1.07343	1.07257	1.07324	2197	0	1
2023.01.10	06:00:00	1.07325	1.07341	1.07280	1.07307	1438	0	0
2023.01.10	07:00:00	1.07307	1.07441	1.07295	1.07427	2301	0	0
2023.01.10	08:00:00	1.07430	1.07434	1.07262	1.07341	2845	0	0
2023.01.10	09:00:00	1.07346	1.07397	1.07222	1.07318	6188	0	0
